Species,Lifestyle,Accession number,Host species,Label
Escherichia virus SRT8,Virulent,NC_042043,Escherichia coli,1
Escherichia virus ST0,Virulent,NC_041990,Escherichia coli,1
Escherichia virus V18,Virulent,NC_041937,Escherichia coli,1
Escherichia virus Golestan,Virulent,NC_042084,Escherichia coli,1
Escherichia virus ECOO78,Virulent,NC_041926,Escherichia coli,1
Escherichia virus H8,Virulent,NC_042307,NA,1
Flavobacterium virus FCV1,Virulent,NC_041845,Flavobacterium columnare,1
Flavobacterium virus Fpv4,Virulent,NC_041872,Flavobacterium psychrophilum,1
Geobacillus virus Tp84,Virulent,NC_041918,Geobacillus stearothermophilus,1
Gluconobacter virus GC1,Virulent,NC_042083,Gluconobacter cerinus,1
Gordonia virus Brandonk123,Virulent,NC_042108,Gordonia terrae,1
Gordonia virus Gustav,Virulent,NC_042088,Gordonia terrae,1
Gordonia virus Katyusha,Virulent,NC_041950,Gordonia terrae,1
Gordonia virus Lennon,Virulent,NC_042045,Gordonia terrae,1
Gordonia virus Mahdia,Virulent,NC_042089,Gordonia terrae,1
Gordonia virus Sour,Virulent,NC_042132,Gordonia terrae,1
Gordonia virus Strosahl,Virulent,NC_041886,Gordonia terrae,1
Gordonia virus Troje,Virulent,NC_042102,NA,1
Gordonia virus Waits,Virulent,NC_042123,Gordonia terrae,1
Klebsiella virus Miro,Virulent,NC_041981,Klebsiella pneumoniae,1
Klebsiella virus Sugarland,Virulent,NC_042093,Klebsiella pneumoniae,1
Klebsiella virus KpV80,Virulent,NC_041900,Klebsiella pneumoniae,1
Klebsiella virus KpV52,Virulent,NC_042041,Klebsiella pneumoniae,1
Klebsiella virus IME260,Virulent,NC_041899,Klebsiella pneumoniae,1
Lactococcus virus P2,Virulent,NC_042024,Lactococcus lactis,1
Lepus americanus faeces associated microvirus SHP1 6472,Virulent,NC_040341,NA,1
Listeria virus LP064,Virulent,NC_041862,Listeria monocytogenes,1
Lynx canadensis associated microvirus CLP 9413,Virulent,NC_040329,NA,1
Microbacterium virus Dismas,Virulent,NC_042099,Microbacterium foliorum,1
Microbacterium virus Eleri,Virulent,NC_042109,Microbacterium foliorum,1
Microbacterium virus Golden,Virulent,NC_042117,Microbacterium foliorum,1
Microbacterium virus Hamlet,Virulent,NC_042110,Microbacterium foliorum,1
Microbacterium virus Ilzat,Virulent,NC_042111,Microbacterium foliorum,1
Microbacterium virus Koji,Virulent,NC_042118,Microbacterium foliorum,1
Microbacterium virus Pikmin,Virulent,NC_042119,Microbacterium foliorum,1
Mycobacterium virus Athena,Virulent,NC_041965,Mycolicibacterium smegmatis,1
Mycobacterium virus Chrisnmich,Virulent,NC_042034,Mycolicibacterium smegmatis,1
Mycobacterium virus Godines,Virulent,NC_042050,Mycolicibacterium smegmatis,1
Mycobacterium virus Lukilu,Virulent,NC_041901,Mycolicibacterium smegmatis,1
Mycobacterium virus Marvin,Virulent,NC_042032,Mycolicibacterium smegmatis,1
Mycobacterium virus Sebata,Virulent,NC_041993,Mycolicibacterium smegmatis,1
Mycobacterium virus Send513,Virulent,NC_042033,Mycolicibacterium smegmatis,1
Mycobacterium virus Zemanar,Virulent,NC_042035,Mycolicibacterium smegmatis,1
Mycobacterium virus Ericb,Virulent,NC_042330,Mycolicibacterium smegmatis,1
Mycobacterium virus Gladiator,Virulent,NC_042309,Mycolicibacterium smegmatis,1
Mycobacterium virus Goose,Virulent,NC_042340,Mycolicibacterium smegmatis,1
Mycobacterium virus Hammer,Virulent,NC_042318,Mycolicibacterium smegmatis,1
Mycobacterium virus Jeffabunny,Virulent,NC_042334,Mycolicibacterium smegmatis,1
Mycobacterium virus Packman,Virulent,NC_042314,Mycolicibacterium smegmatis,1
Mycobacterium virus Saintus,Virulent,NC_042335,Mycolicibacterium smegmatis,1
Mycobacterium virus TA17a,Virulent,NC_043767,Mycolicibacterium smegmatis,1
Mycobacterium virus Wonder,Virulent,NC_042058,NA,1
Paenibacillus virus Shelly,Virulent,NC_041909,Paenibacillus larvae,1
Pantoea virus Vid5,Virulent,NC_042120,Pantoea agglomerans,1
Paracoccus virus Shpa,Virulent,NC_041868,Paracoccus sp.,1
Pectinobacterium virus PEAT2,Virulent,NC_044940,Pectobacterium atrosepticum,1
Pectinobacterium virus CBB,Virulent,NC_041878,Pectobacterium carotovorum,1
Pectobacterium virus fM1,Virulent,NC_041854,Pectobacterium atrosepticum,1
Pectobacterium virus CB5,Virulent,NC_042131,Pectobacterium atrosepticum,1
Propionibacterium virus Keiki,Virulent,NC_041954,Cutibacterium acnes,1
Propionibacterium virus PHL082M03,Virulent,NC_041955,Cutibacterium acnes,1
Propionibacterium virus PHL117M01,Virulent,NC_041956,Cutibacterium acnes,1
Propionibacterium virus PHL151N00,Virulent,NC_041957,Cutibacterium acnes,1
Proteus virus PM135,Virulent,NC_042090,Proteus mirabilis,1
Proteus virus Isfahan,Virulent,NC_041925,Proteus mirabilis,1
Providencia virus PR1,Virulent,NC_041913,Providencia sp.,1
Pseudoalteromonas virus Cr39582,Virulent,NC_042121,Pseudoalteromonas sp.,1
Pseudomonas virus Bjorn,Virulent,NC_042103,Pseudomonas sp.,1
Pseudomonas virus LKO4,Virulent,NC_041934,Pseudomonas aeruginosa,1
Pseudomonas virus NV1,Virulent,NC_042107,Pseudomonas tolaasii,1
Pseudomonas virus Noxifer,Virulent,NC_041994,Pseudomonas fluorescens,1
Pseudomonas virus PA10,Virulent,NC_041903,Pseudomonas aeruginosa,1
Pseudomonas virus PA26,Virulent,NC_041907,Pseudomonas aeruginosa,1
Pseudomonas virus PA5,Virulent,NC_041902,Pseudomonas aeruginosa,1
Pseudomonas virus PaMx25,Virulent,NC_041953,Pseudomonas aeruginosa,1
Pseudomonas virus PaP4,Virulent,NC_042343,Pseudomonas aeruginosa,1
Pseudomonas virus PollyC,Virulent,NC_042104,Pseudomonas sp.,1
Pseudomonas virus SL2,Virulent,NC_042081,Pseudomonas aeruginosa,1
Pseudomonas virus SM1,Virulent,NC_041877,Pseudomonas aeruginosa,1
Pseudomonas virus VSW3,Virulent,NC_041885,NA,1
Pseudomonas virus Zigelbrucke,Virulent,NC_041904,Pseudomonas aeruginosa,1
Pseudomonas virus nickie,Virulent,NC_042091,Pseudomonas syringae,1
Pseudomonas virus pf16,Virulent,NC_041881,Pseudomonas putida,1
Pseudomonas virus KTN6,Virulent,NC_041865,Pseudomonas aeruginosa,1
Pseudomonas virus PMW,Virulent,NC_041880,Pseudomonas putida,1
Pseudomonas virus R18,Virulent,NC_041964,NA,1
Pseudomonas virus tabernarius,Virulent,NC_042092,Pseudomonas syringae,1
Pseudomonas virus CEBDP1,Virulent,NC_041870,Pseudomonas aeruginosa,1
Pseudomonas virus E215,Virulent,NC_042080,NA,1
Pseudomonas virus E217,Virulent,NC_042079,NA,1
Pseudomonas virus G1,Virulent,NC_041968,Pseudomonas aeruginosa,1
Pseudomonas virus KIL2,Virulent,NC_042054,Pseudomonas coronafaciens,1
Pseudomonas virus FHA0480,Virulent,NC_041851,NA,1
Ralstonia virus RP12,Virulent,NC_041911,Ralstonia solanacearum,1
Rhizobium virus RHEph4,Virulent,NC_041908,Rhizobium etli,1
Rhizobium phage RHEph10,Virulent,NC_034248,Rhizobium etli,1
Rhodobacter virus RcCronus,Virulent,NC_042049,Rhodobacter capsulatus,1
Rhodobacter virus RcSpartan,Virulent,NC_041963,Rhodobacter capsulatus,1
Rhodococcus virus Trina,Virulent,NC_042040,Rhodococcus erythropolis,1
Rhodococcus virus Weasel,Virulent,NC_041887,Rhodococcus erythropolis,1
Salinibacter virus M8CR30-2,Virulent,NC_042350,Salinibacter ruber,1
Salmonella virus BPS17L1,Virulent,NC_042096,Salmonella enterica,1
Salmonella virus BPS17W1,Virulent,NC_042097,Salmonella enterica,1
Salmonella virus Melville,Virulent,NC_042044,Salmonella enterica,1
Salmonella virus Mushroom,Virulent,NC_041923,Salmonella sp.,1
Salmonella virus SE1Kor,Virulent,NC_042025,Salmonella enterica,1
Salmonella virus Si3,Virulent,NC_041922,Salmonella enterica,1
Salmonella virus AG11,Virulent,NC_041991,Salmonella enterica,1
Salmonella virus wksl3,Virulent,NC_041992,NA,1
Salmonella virus BTP1,Virulent,NC_042346,NA,1
Serratia virus BF,Virulent,NC_041917,Serratia marcescens,1
Serratia virus CHI14,Virulent,NC_041996,Serratia sp. ATCC 39006,1
Serratia virus IME250,Virulent,NC_042047,Serratia rubidaea,1
Shigella virus Sf13,Virulent,NC_042017,Shigella flexneri,1
Shigella virus Sf14,Virulent,NC_042075,Shigella flexneri,1
Shigella virus Sf17,Virulent,NC_042076,Shigella boydii,1
Shigella virus Sf21,Virulent,NC_042077,Shigella flexneri,1
Shigella virus Sf22,Virulent,NC_042039,Shigella boydii,1
Shigella virus Sf24,Virulent,NC_042078,Shigella flexneri,1
Shigella virus ISF002,Virulent,NC_041995,Shigella sonnei,1
Sinorhizobium virus M7,Virulent,NC_041929,Sinorhizobium meliloti,1
Sphingobium virus Lacusarx,Virulent,NC_041927,Sphingobium sp. IP1,1
Staphylococcus virus SEP1,Virulent,NC_041928,Staphylococcus epidermidis,1
Stenotrophomonas virus DLP5,Virulent,NC_042082,Stenotrophomonas maltophilia,1
Streptomyces virus BillNye,Virulent,NC_042105,Streptomyces viridochromogenes,1
Streptomyces virus Bing,Virulent,NC_042106,Streptomyces lividans,1
Strepomyces virus Drgrey,Virulent,NC_042016,Streptomyces griseus,1
Streptomyces virus Mildred21,Virulent,NC_042008,Streptomyces viridochromogenes,1
Streptomyces virus NootNoot,Virulent,NC_042009,Streptomyces griseus,1
Streptomyces virus Paradiddles,Virulent,NC_042010,Streptomyces griseus,1
Streptomyces virus Peebs,Virulent,NC_042011,Streptomyces lividans,1
Strepomyces virus Rima,Virulent,NC_041889,Streptomyces azureus,1
Streptomyces virus Samisti12,Virulent,NC_042012,Streptomyces griseus,1
Streptomyces virus Scap1,Virulent,NC_042042,Streptomyces scabiei,1
Streptomyces virus phiCAM,Virulent,NC_041856,Streptomyces coelicolor,1
Tsukamurella virus TIN4,Virulent,NC_041962,Tsukamurella inchonensis,1
Vibrio virus Aphrodite1,Virulent,NC_042100,Vibrio alginolyticus,1
Vibrio virus Ceto,Virulent,NC_042094,Vibrio harveyi,1
Vibrio virus JSF10,Virulent,NC_042074,Vibrio cholerae,1
Vibrio virus SSP002,Virulent,NC_041910,Vibrio vulnificus,1
Vibrio virus Thalassa,Virulent,NC_042095,Vibrio harveyi,1
Vibrio virus pTD1,Virulent,NC_041916,Vibrio parahaemolyticus,1
Xanthomonas virus Xf109,Virulent,NC_043028,Xanthomonas oryzae,1
Xanthomonas virus f20,Virulent,NC_030928,Xanthomonas arboricola,1
Xanthomonas virus f30,Virulent,NC_030937,Xanthomonas arboricola,1
Xylella virus Salvo,Virulent,NC_042345,Xylella fastidiosa,1
Xylella virus Sano,Virulent,NC_042344,Xylella fastidiosa,1
Yersinia virus Yen9-04,Virulent,NC_042116,NA,1
Burkholderia phage KS9,Temperate,NC_013055,Burkholderia pseudomallei,0
Salmonella phage epsilon34,Temperate,NC_011976,Salmonella enterica,0
Pseudomonas virus MP29,Temperate,NC_011613,Pseudomonas aeruginosa,0
Pseudomonas virus MP38,Temperate,NC_011611,Pseudomonas aeruginosa,0
Stx2-converting phage 1717,Temperate,NC_011357,Escherichia coli,0
Salmonella phage g341c,Temperate,NC_013059,Salmonella enterica,0
Enterobacteria phage ES18,Temperate,NC_006949,Salmonella enterica,0
Escherichia virus Wphi,Temperate,NC_005056,Escherichia coli,0
Enterobacteria phage phiP27,Temperate,NC_003356,Escherichia coli,0
Staphylococcus virus phiETA,Temperate,NC_003288,Staphylococcus aureus,0
Escherichia virus Mu,Temperate,NC_000929,NA,0
Escherichia virus P2,Temperate,NC_001895,NA,0
Enterobacteria phage P4,Temperate,NC_001609,NA,0
Escherichia virus P1,Temperate,AF503408,Escherichia coli,0
Haemophilus virus HP1,Temperate,NC_001697,Haemophilus influenzae,0
Streptomyces phage VWB,Temperate,NC_005345,Streptomyces venezuelae,0
Pseudomonas virus D3112,Temperate,NC_005178,Pseudomonas aeruginosa,0
Escherichia virus Lambda,Temperate,NC_001416,Escherichia coli,0
Streptomyces virus phiC31,Temperate,NC_001978,Streptomyces coelicolor,0
Escherichia virus 933W,Temperate,NC_000924,Escherichia coli,0
Escherichia virus HK022,Temperate,NC_002166,Escherichia coli,0
Salmonella virus P22,Temperate,NC_002371,Salmonella enterica,0
Shigella virus Sf6,Temperate,NC_005344,Shigella flexneri,0
Streptococcus virus 7201,Temperate,NC_002185,Streptococcus thermophilus,0
Streptococcus phage MM1,Temperate,NC_003050,NA,0
Staphylococcus virus 11,Temperate,NC_004615,Staphylococcus aureus,0
Lactococcus phage phiLC3,Temperate,NC_005822,Lactococcus cremoris,0
Streptococcus phage EJ-1,Temperate,NC_005294,Streptococcus pneumoniae,0
Salmonella virus PsP3,Temperate,NC_005340,NA,0
Lactobacillus phage phiadh,Temperate,NC_000896,Lactobacillus gasseri,0
Staphylococcus prophage phiPV83,Temperate,NC_002486,Staphylococcus aureus,0
Staphylococcus virus phiSLT,Temperate,NC_002661,Staphylococcus aureus,0
Mycobacterium virus Bxb1,Temperate,NC_002656,NA,0
Lactococcus phage bIL311,Temperate,NC_002670,Lactococcus lactis,0
Lactococcus phage bIL285,Temperate,NC_002666,Lactococcus lactis,0
Lactococcus phage bIL286,Temperate,NC_002667,Lactococcus lactis,0
Lactococcus phage bIL309,Temperate,NC_002668,Lactococcus lactis,0
Lactococcus phage bIL310,Temperate,NC_002669,Lactococcus lactis,0
Lactococcus phage bIL312,Temperate,NC_002671,Lactococcus lactis,0
Pseudomonas virus B3,Temperate,NC_006548,Pseudomonas aeruginosa,0
Escherichia virus HK620,Temperate,NC_002730,Escherichia coli,0
Haemophilus virus HP2,Temperate,NC_003315,Haemophilus influenzae,0
Streptococcus phage SM1,Temperate,NC_004996,Streptococcus mitis,0
Pseudomonas virus phiKZ,Temperate,NC_004629,Pseudomonas aeruginosa,0
Yersinia phage PY54,Temperate,NC_005069,Yersinia enterocolitica,0
Salmonella virus ST64T,Temperate,NC_004348,Salmonella enterica,0
Temperate phage phiNIH1.1,Temperate,NC_003157,Streptococcus pyogenes,0
Methanothermobacter phage psiM100,Temperate,NC_002628,Methanothermobacter wolfeii,0
Salmonella phage ST64B,Temperate,NC_004313,Salmonella enterica,0
Sinorhizobium phage PBC5,Temperate,NC_003324,Sinorhizobium meliloti,0
Burkholderia virus phiE125,Temperate,NC_003309,Burkholderia thailandensis,0
Escherichia virus 933W,Temperate,NC_003525,Escherichia coli,0
Listeria virus PSA,Temperate,NC_003291,Listeria monocytogenes,0
Staphylococcus virus phi12,Temperate,NC_004616,Staphylococcus aureus,0
Staphylococcus virus 13,Temperate,NC_004617,Staphylococcus aureus,0
Clostridium phage phi3626,Temperate,NC_003524,Clostridium perfringens,0
Bordetella virus BPP1,Temperate,NC_005357,Bordetella bronchiseptica,0
Escherichia Stx1 converting phage,Temperate,NC_004913,Escherichia coli,0
Escherichia virus Stx2 II,Temperate,NC_004914,Escherichia coli,0
Enterobacteria phage BP-4795,Temperate,NC_004813,Escherichia coli,0
Streptococcus phage 315.1,Temperate,NC_004584,Streptococcus pyogenes,0
Streptococcus phage 315.2,Temperate,NC_004585,Streptococcus pyogenes,0
Streptococcus phage 315.3,Temperate,NC_004586,Streptococcus pyogenes,0
Streptococcus phage 315.4,Temperate,NC_004587,Streptococcus pyogenes,0
Streptococcus phage 315.5,Temperate,NC_004588,Streptococcus pyogenes,0
Streptococcus phage 315.6,Temperate,NC_004589,Streptococcus pyogenes,0
Salmonella virus P22,Temperate,AF527608,Salmonella enterica,0
Mycobacterium virus Che8,Temperate,NC_004680,NA,0
Mycobacterium virus CJW1,Temperate,NC_004681,NA,0
Mycobacterium virus Che9c,Temperate,NC_004683,NA,0
Mycobacterium virus Che9d,Temperate,NC_004686,NA,0
Mycobacterium virus Omega,Temperate,NC_004688,NA,0
Vibrio virus VHML,Temperate,NC_004456,Vibrio harveyi,0
Salmonella virus Epsilon15,Temperate,NC_004775,Salmonella enterica,0
Enterobacteria phage ST104,Temperate,NC_005841,Salmonella enterica,0
Streptomyces virus phiBT1,Temperate,NC_004664,Streptomyces lividans,0
Bacillus phage phBC6A51,Temperate,NC_004820,Bacillus cereus,0
Bacillus phage phBC6A52,Temperate,NC_004821,Bacillus cereus,0
Staphylococcus phage phiN315,Temperate,NC_004740,Staphylococcus aureus,0
Haemophilus phage Aaphi23,Temperate,NC_004827,Aggregatibacter actinomycetemcomitans,0
Bacillus virus Bam35,Temperate,NC_005258,Bacillus thuringiensis,0
Burkholderia virus phi1026b,Temperate,NC_005284,Burkholderia pseudomallei,0
Klebsiella phage phiKO2,Temperate,NC_005857,Klebsiella oxytoca,0
Staphylococcus virus 77,Temperate,NC_005356,Staphylococcus aureus,0
Vibrio virus VP2,Temperate,NC_005879,Vibrio cholerae,0
Vibrio virus VP5,Temperate,NC_005891,Vibrio cholerae,0
Bordetella virus BPP1,Temperate,NC_005808,Bordetella bronchiseptica,0
Bordetella virus BPP1,Temperate,NC_005809,Bordetella bronchiseptica,0
Burkholderia virus BcepMu,Temperate,NC_005882,Burkholderia cenocepacia,0
Prochlorococcus virus PSSP7,Temperate,NC_006882,NA,0
Burkholderia virus BcepC6B,Temperate,NC_005887,Burkholderia cepacia,0
Lactobacillus phage phiAT3,Temperate,NC_005893,Lacticaseibacillus casei,0
Alphaproteobacteria virus phiJl001,Temperate,NC_006938,alpha proteobacterium JL001,0
Pseudomonas virus F116,Temperate,NC_006552,Pseudomonas aeruginosa,0
Mycoplasma phage phiMFV1,Temperate,NC_005964,NA,0
Escherichia virus 186,Temperate,NC_001317,Escherichia coli,0
Bacillus phage BCJA1c,Temperate,NC_006557,[Bacillus] clarkii,0
Bacillus virus GIL16,Temperate,NC_006945,Bacillus thuringiensis,0
Pseudomonas virus D3,Temperate,NC_002484,Pseudomonas aeruginosa,0
Lactococcus phage BK5-T,Temperate,NC_002796,Lactococcus lactis,0
Mycobacterium virus L5,Temperate,NC_001335,NA,0
Staphylococcus phage PT1028,Temperate,NC_007045,Staphylococcus aureus,0
Staphylococcus virus 69,Temperate,NC_007048,Staphylococcus aureus,0
Staphylococcus virus 53,Temperate,NC_007049,Staphylococcus aureus,0
Staphylococcus virus 2638A,Temperate,NC_007051,Staphylococcus aureus,0
Staphylococcus virus 42e,Temperate,NC_007052,Staphylococcus aureus,0
Staphylococcus virus 47,Temperate,NC_007054,Staphylococcus aureus,0
Staphylococcus virus 37,Temperate,NC_007055,Staphylococcus aureus,0
Staphylococcus virus EW,Temperate,NC_007056,Staphylococcus aureus,0
Staphylococcus virus 96,Temperate,NC_007057,Staphylococcus aureus,0
Staphylococcus phage ROSA,Temperate,NC_007058,Staphylococcus aureus,0
Staphylococcus virus 71,Temperate,NC_007059,Staphylococcus aureus,0
Staphylococcus virus 55,Temperate,NC_007060,Staphylococcus aureus,0
Staphylococcus virus 29,Temperate,NC_007061,Staphylococcus aureus,0
Staphylococcus virus 52a,Temperate,NC_007062,Staphylococcus aureus,0
Staphylococcus virus 88,Temperate,NC_007063,Staphylococcus aureus,0
Staphylococcus virus 92,Temperate,NC_007064,Staphylococcus aureus,0
Staphylococcus virus X2,Temperate,NC_007065,Staphylococcus aureus,0
Burkholderia virus phi52237,Temperate,NC_007145,Burkholderia pseudomallei,0
Stenotrophomonas virus SMA9,Temperate,NC_007189,Stenotrophomonas maltophilia,0
Pasteurella virus F108,Temperate,NC_008193,Pasteurella multocida,0
Mycoplasma virus P1,Temperate,NC_002515,Mycoplasma pulmonis,0
Lactococcus phage Tuc2009,Temperate,NC_002703,Lactococcus lactis,0
Pseudomonas virus phiCTX,Temperate,NC_003278,Pseudomonas aeruginosa,0
Lactococcus phage TP901-1,Temperate,NC_002747,Lactococcus lactis,0
Escherichia virus HK97,Temperate,NC_002167,Escherichia coli,0
Pseudomonas virus DMS3,Temperate,NC_008717,Pseudomonas aeruginosa,0
Listeria phage A118,Temperate,NC_003216,Listeria monocytogenes,0
Escherichia virus N15,Temperate,NC_001901,Escherichia coli,0
Enterobacteria phage cdtI,Temperate,NC_009514,Escherichia coli,0
Burkholderia virus phi6442,Temperate,NC_009235,Burkholderia pseudomallei,0
Burkholderia virus phiE122,Temperate,NC_009236,Burkholderia pseudomallei,0
Lactococcus phage r1t,Temperate,NC_004302,Lactococcus lactis,0
Mycobacterium virus Tweety,Temperate,NC_009820,Mycolicibacterium smegmatis,0
Acholeplasma virus L2,Temperate,NC_001447,Acholeplasma laidlawii,0
Lactobacillus phage A2,Temperate,NC_004112,Lacticaseibacillus casei,0
Lactobacillus phage phig1e,Temperate,NC_004305,NA,0
Enterobacteria phage SfV,Temperate,NC_003444,Shigella flexneri,0
Staphylococcus virus 85,Temperate,NC_007050,Staphylococcus aureus,0
Streptococcus virus Sfi21,Temperate,NC_000872,Streptococcus thermophilus,0
Bacillus virus SPbeta,Temperate,NC_001884,Bacillus pumilus,0
Staphylococcus phage PVL,Temperate,NC_002321,Staphylococcus aureus,0
Streptococcus virus Sfi19,Temperate,NC_000871,Streptococcus thermophilus,0
Mycoplasma phage MAV1,Temperate,NC_001942,Mycoplasma arthritidis,0
Streptococcus virus Sfi11,Temperate,NC_002214,NA,0
Streptococcus virus O1205,Temperate,NC_004303,Streptococcus thermophilus,0
Streptococcus virus DT1,Temperate,NC_002072,Streptococcus thermophilus,0
Enterobacteria phage VT2-Sakai,Temperate,NC_000902,Escherichia coli,0
Bacillus virus SPO1,Virulent,NC_011421,Bacillus subtilis,1
Enterobacteria phage RB51,Virulent,NC_012635,NA,1
Escherichia virus RB14,Virulent,NC_012638,NA,1
Kluyvera virus Kvp1,Virulent,NC_011534,Kluyvera cryocrescens,1
Silicibacter phage DSS3phi2,Virulent,NC_012697,Ruegeria pomeroyi,1
Sulfitobacter phage EE36phi1,Virulent,NC_012696,Sulfitobacter sp. EE-36,1
Escherichia virus BA14,Virulent,NC_011040,Escherichia coli,1
Escherichia phage 13a,Virulent,NC_011045,Escherichia coli,1
Klebsiella virus K11,Virulent,NC_011043,Klebsiella sp. 390,1
Yersinia virus Yepe2,Virulent,NC_011038,Yersinia pestis,1
Ralstonia virus RSB1,Virulent,NC_011201,Ralstonia solanacearum,1
Escherichia virus JSE,Virulent,NC_012740,Escherichia coli,1
Escherichia virus JS10,Virulent,NC_012741,Escherichia coli,1
Pseudomonas virus kF77,Virulent,NC_012418,Pseudomonas aeruginosa,1
Pseudomonas virus PRD1,Virulent,NC_001421,Pseudomonas aeruginosa,1
Escherichia virus T4,Virulent,NC_000866,Escherichia coli,1
Escherichia virus T5,Virulent,NC_005859,Escherichia coli,1
Streptococcus virus Cp1,Virulent,NC_001825,Streptococcus pneumoniae,1
Escherichia virus N4,Virulent,NC_008720,Escherichia coli,1
Escherichia virus T3,Virulent,NC_003298,Escherichia coli,1
Escherichia virus T7,Virulent,NC_001604,Escherichia coli,1
Bacillus virus B103,Virulent,NC_004165,Bacillus subtilis,1
Escherichia virus G4,Virulent,NC_001420,Escherichia coli,1
Salmonella virus IKe,Virulent,NC_002014,Escherichia coli,1
Pseudomonas virus Pf3,Virulent,NC_001418,Pseudomonas aeruginosa,1
Yersinia virus YeO3-12,Virulent,NC_001271,Yersinia enterocolitica,1
Bacillus virus GA1,Virulent,NC_002649,Bacillus sp. (in: Bacteria),1
Escherichia virus RB69,Virulent,NC_004928,Escherichia coli,1
Escherichia virus T1,Virulent,NC_005833,Escherichia coli,1
Roseobacter virus SIO1,Virulent,NC_002519,NA,1
Synechococcus virus P60,Virulent,NC_003390,Synechococcus sp. WH 7805,1
Vibrio virus VpV262,Virulent,NC_003907,Vibrio parahaemolyticus,1
Salmonella virus SP6,Virulent,NC_004831,Salmonella enterica,1
Pseudomonas virus gh1,Virulent,NC_004665,Pseudomonas putida,1
Lactococcus phage P335 sensu lato,Virulent,NC_004746,Lactococcus lactis,1
Staphylococcus virus 44AHJD,Virulent,NC_004678,Staphylococcus aureus,1
Staphylococcus phage P68,Virulent,NC_004679,Staphylococcus aureus,1
Pseudomonas virus phiKMV,Virulent,NC_005045,Pseudomonas aeruginosa,1
Mycobacterium virus Rosebush,Virulent,NC_004684,NA,1
Mycobacterium virus Corndog,Virulent,NC_004685,NA,1
Burkholderia virus Bcep781,Virulent,NC_004333,Burkholderia cepacia,1
Aeromonas virus Aeh1,Virulent,NC_005260,Aeromonas hydrophila,1
Yersinia phage phiA1122,Virulent,NC_004777,Yersinia pestis,1
Streptococcus virus C1,Virulent,NC_004814,Streptococcus sp. 'group C',1
Xanthomonas virus Xp10,Virulent,NC_004902,Xanthomonas oryzae,1
Lactobacillus virus phiJL1,Virulent,NC_006936,Lactiplantibacillus plantarum,1
Synechococcus phage S-PM2,Virulent,NC_006820,NA,1
Burkholderia virus Bcep1,Virulent,NC_005263,Burkholderia cenocepacia,1
Burkholderia virus Bcep43,Virulent,NC_005342,Burkholderia cepacia,1
Prochlorococcus virus PSSM2,Virulent,NC_006883,NA,1
Prochlorococcus phage P-SSM4,Virulent,NC_006884,NA,1
Burkholderia phage BcepB1A,Virulent,NC_005886,NA,1
Staphylococcus virus G1,Virulent,NC_007066,Staphylococcus aureus,1
Escherichia virus JS98,Virulent,NC_010105,Escherichia coli,1
Lactobacillus virus LP65,Virulent,NC_006565,Lactiplantibacillus plantarum,1
Streptococcus virus 2972,Virulent,NC_007019,Streptococcus thermophilus,1
Lactococcus virus sk1,Virulent,NC_001835,Lactococcus lactis,1
Lactococcus virus c2,Virulent,NC_001706,NA,1
Staphylococcus virus 66,Virulent,NC_007046,Staphylococcus aureus,1
Haloarcula hispanica virus SH1,Virulent,NC_007217,Haloarcula hispanica,1
Vibrio virus VP4,Virulent,NC_007149,NA,1
Listeria virus P100,Virulent,DQ004855,Listeria monocytogenes,1
Escherichia virus K1F,Virulent,AM084414,Escherichia coli,1
Escherichia virus Rtp,Virulent,NC_007603,Escherichia coli,1
Lactococcus virus bIL67,Virulent,NC_001629,Lactococcus lactis,1
Yersinia virus Berlin,Virulent,NC_008694,Yersinia pestis,1
Listeria virus A511,Virulent,NC_009811,Listeria monocytogenes,1
Escherichia virus phi1,Virulent,NC_009821,Escherichia coli,1
Escherichia virus RB32,Virulent,NC_008515,Escherichia coli,1
Pseudomonas virus LUZ24,Virulent,NC_010325,Pseudomonas aeruginosa,1
Escherichia virus RB49,Virulent,NC_005066,Escherichia coli,1
Salmonella virus SG-JL2,Virulent,NC_010807,Salmonella enterica,1
Staphylococcus virus Twort,Virulent,NC_007021,Staphylococcus aureus,1
Lactococcus virus bIL170,Virulent,NC_001909,Lactococcus lactis,1
Vibrio virus KVP40,Virulent,NC_005083,NA,1
Psimunavirus psiM2,Virulent,NC_001902,Methanothermobacter thermautotrophicus,1
Salmonella virus FelixO1,Virulent,NC_005282,NA,1
